nome,genero,presença_plenario,ausencia_justificada_plenario,ausencia_plenario,presenca_comissao,ausencia_justificada_comissao,ausencia_comissao,data_nascimento,quant_viagem,salario_bruto_par,gasto_total_par,gasto_jan_par,gasto_fev_par,gasto_mar_par,gasto_abr_par ,gasto_maio_par,gasto_junho_par,gasto_jul_par,gasto_agosto_par,gasto_set_par,gasto_out_par,gasto_nov_par,gasto_dez_par,gasto_jan_gab,gasto_fev_gab,gasto_mar_gab,gasto_abr_gab ,gasto_maio_gab,gasto_junho_gab,gasto_jul_gab,gasto_agosto_gab,gasto_set_gab,gasto_out_gab,gasto_nov_gab,gasto_dez_gab,gasto_total_gab
LÍDICE DA MATA E SOUZA,F,89,3,0,56,4,4,12/03/1956,0,"33.763,00","310.596,69",24968.53,36055.08,41685.69,36945.93,64741.89,25591.94,29647.64,17038.04,9156.67,23759.12,1006.16,0,105717.75,109880.24,107918.25,107472.66,111089.52,111089.52,111089.52,111089.52,111089.52,111089.52,0,0,1097526.02
LIZIANE BAYER DA COSTA,F,92,0,0,54,1,18,24/01/1981,0,"33.763,00","427.954,39",24410.68,44680.51,52608.27,52869.92,60599.67,33727.59,34144.01,32890.25,31283.06,45549.34,15191.09,0,109492.14,104592.92,102932.25,102694.30,104044.41,103593.63,105180.10,107815.81,109597.20,109597.20,0,0,1059539.96
FRANCO CARTAFINA GOMES,M,86,3,3,44,4,15,03/11/1986,0,"33.763,00","317.134,14",28065.10,33009.58,43304.17,45119.68,52088.32,34699.31,22247.15,51692.11,4820.12,2088.60,0,0,110962.06,110962.06,110962.06,110962.06,111166.17,111568.67,111568.67,111568.67,111568.67,111568.67,0,0,1112857.76
EDILAZIO GOMES DA SILVA JUNIOR,M,87,5,0,12,1,0,04/05/1981,0,"33.763,00","269.430,92",29645.70,67991.37,21709.65,54054.00,19692.50,28378.82,18023.27,5308.77,14235.23,10391.61,0,0,111402.54,111185.22,111659.65,111166.30,111659.65,111659.65,111659.65,110963.46,111241.12,111310.78,0,0,1113908.02
FLAVIANO FLÁVIO BAPTISTA DE MELO,M,82,10,0,3,0,1,17/11/1949,0,"33.763,00","437.655,10",34282.68,37155.36,51227.13,29713.90,79405.70,25480.53,38048.40,39592.10,55425.57,27323.73,20000.00,0,107904.83,107983.89,111367.03,111659.62,111659.62,111659.62,111659.62,110227.30,110179.56,110179.56,0,0,1104480.65
ÉDIO VIEIRA LOPES,M,71,5,16,18,2,5,04/01/1952,0,"33.763,00","343.353,54",42432.81,39836.40,47117.63,54268.93,97784.62,14519.68,22739.81,16760.34,878.14,7015.18,0,0,110495.02,110495.02,111469.88,111408.97,111368.53,111370.96,111441.31,111441.31,111441.31,108907.52,0,0,1109839.83
LEDA MARIA SADALA BRITO,F,72,18,2,24,8,15,11/06/1966,0,"33.763,00","343.923,35",32892.40,30026.99,54798.85,53049.21,51266.85,41748.71,31911.86,24292.55,15145.93,8540.00,250.00,0,111429.13,111306.30,109662.60,107931.96,110017.93,110446.45,110633.94,109994.10,111659.63,108861.12,0,0,1101943.16
LEANDRE DAL PONTE,F,80,10,2,31,4,23,20/12/1975,1,"33.763,00","362.122,06",30663.14,49384.33,39707.22,42738.34,55109.67,32174.71,34082.73,28823.07,17999.54,29896.72,1542.59,0,108159.67,108159.67,109633.48,109791.39,109791.39,110801.97,109549.18,111428.41,111307.87,111307.87,0,0,1099930.90
LAURIETE RODRIGUES DE JESUS,F,89,3,0,48,2,2,23/02/1970,0,"33.763,00","269.000,95",28596.39,36787.02,28706.65,38112.66,49288.05,30104.05,18543.11,15764.41,15009.24,7961.74,127.63,0,104287.85,105889.29,107644.06,107644.06,107976.91,100506.22,110346.11,111471.61,111471.61,111471.61,0,0,1078709.33
FREDERICO BORGES DA COSTA,M,83,9,0,14,1,5,12/07/1977,0,"33.763,00","284.352,33",14730.30,29479.43,41701.41,55095.45,44266.74,24177.23,21336.08,23057.48,15301.98,12687.52,2518.71,0,110167.89,108567.01,109305.97,109305.97,109563.08,108452.71,101554.25,109006.01,107977.56,103926.38,0,0,1077826.83
JOICE CRISTINA HASSELMANN,F,87,5,0,57,3,3,29/01/1978,0,"33.763,00","298.433,25",25636.10,21173.13,72944.98,50332.77,44859.38,25702.26,16939.86,18265.67,20609.35,1969.75,0,0,99430.88,106641.61,98487.95,101062.57,108786.73,110597.86,108539.98,102509.19,97950.82,97950.82,0,0,1031958.41
DIRLAINE JAQUELINE CASSOL,F,81,8,3,47,8,15,03/12/1974,0,"33.763,00","301.704,59",38881.19,35836.11,33841.17,57249.08,71115.17,20997.72,21444.70,11534.22,2240.92,7424.00,1140.31,0,111665.59,111362.29,107986.55,110884.32,111208.12,110180.25,108177.15,110472.02,111321.85,108397.68,0,0,1101655.82
JOENIA BATISTA DE CARVALHO,F,83,9,0,98,12,15,20/04/1973,1,"33.763,00","402.563,84",36130.43,59868.30,85352.21,48106.28,35824.32,43428.93,39248.21,28261.77,13353.61,12562.49,427.29,0,91545.36,93767.62,92129.06,80310.66,79164.66,97275.18,102548.82,99850.50,95697.66,96608.80,0,0,928898.32
GREYCE DE QUEIROZ ELIAS,F,77,12,3,28,4,18,15/12/1981,1,"33.763,00","171.166,04",14671.44,18523.74,21705.97,35221.54,45590.67,15599.72,12425.68,2786.62,2040.22,2184.36,416.08,0,101294.97,95517.25,104632.97,104398.53,107931.21,110975.70,110129.51,110600.89,111580.83,111573.39,0,0,1068635.25
IRACEMA MARIA PORTELLA NUNES NOGUEIRA LIMA,F,35,0,4,0,0,0,23/04/1966,0,"33.763,00","160.050,65",33126.14,37905.45,54717.25,799.73,17561.17,8098.80,9441.57,0,0,0,0,0,111653.55,110382.33,111176.32,111235.02,111235.02,111235.02,111235.02,111235.02,111304.78,111653.55,0,0,1112345.63
JESSICA ROJAS SALES,F,42,45,5,0,16,2,28/11/1980,0,"33.763,00","372.828,96",36557.22,42553.73,47072.55,56770.07,58428.19,3133.62,11486.12,8024.13,2803.33,106000.00,0,0,111568.56,111568.56,111568.56,111568.56,111568.56,111568.56,111568.56,111571.11,111647.46,111647.46,0,0,1115845.95
FLÁVIO RODRIGUES NOGUEIRA,M,91,1,0,39,0,4,27/02/1953,0,"33.763,00","393.018,11",38329.27,41835.51,39604.13,37048.37,42494.03,47068.00,42082.62,36727.61,36484.39,31344.18,0,0,110937.69,110937.69,111074.66,110962.76,111467.18,111544.27,111544.27,111544.27,111544.27,105327.63,0,0,1106884.69
GLEISI HELENA HOFFMANN,F,66,26,0,3,1,4,06/09/1965,0,"33.763,00","356.166,15",48759.04,47652.40,59416.08,55375.62,43129.42,20852.42,26211.68,23293.93,17899.82,13254.54,321.20,0,111526.42,111526.42,111526.42,111526.42,111526.42,111526.42,111526.42,111526.42,111526.42,111526.42,0,0,1115264.20
JANDIRA FEGHALI,F,91,0,1,41,0,28,17/05/1957,0,"33.763,00","301.210,20",16677.60,41606.05,42043.96,41561.42,33766.08,35266.15,30544.63,18967.72,23146.67,16977.22,652.70,0,111186.43,110346.75,110883.15,110883.15,110883.15,110883.15,106843.71,109640.24,105683.13,103792.22,0,0,1091025.08
FLÁVIA CAROLINA PÉRES,F,60,5,4,0,1,3,21/01/1980,0,"33.763,00","94.924,34",6864.73,10563.71,18634.34,15284.18,16185.53,14441.81,12950.04,0,0,0,0,0,0.00,0.00,1906.24,70338.95,79195.45,81408.68,85648.32,88827.97,88827.97,88827.97,0,0,584981.55
FLÁVIA CARREIRO ALBUQUERQUE MORAIS,F,86,6,0,123,3,0,26/04/1969,0,"33.763,00","292.534,36",31961.04,33702.59,35431.93,33636.11,33829.17,29972.17,26739.93,26234.48,22945.49,18042.05,39.40,0,110555.68,110555.68,110555.68,110555.68,111091.22,110994.42,111182.00,111580.78,111580.78,111580.78,0,0,1110232.70
FERNANDA MELCHIONNA E SILVA,F,88,1,3,54,0,9,02/02/1984,0,"33.763,00","296.458,41",20500.17,21194.89,56736.14,41442.21,70363.57,28035.03,34736.50,7126.13,2238.54,13667.64,417.59,0,108969.03,110770.20,111295.57,111471.67,111471.67,111005.21,108790.95,108173.01,107268.84,100470.41,0,0,1089686.56
Geovânia de Sá,F,91,1,0,15,0,0,30/03/1972,0,"33.763,00","291.293,02",24548.31,31895.95,46155.40,48301.66,38575.18,41038.25,24556.46,10926.74,3937.68,21317.39,40.00,0,111111.81,111610.95,111659.69,111659.69,110768.99,110692.78,103468.98,111168.24,111168.24,106547.85,0,0,1099857.22
ÉRIKA JUCÁ KOKAY,F,90,1,1,132,1,16,15/08/1957,0,"33.763,00","219.455,01",21175.36,26961.36,57030.55,8623.76,69810.79,1267.02,375.92,393.19,354.58,33212.46,250.02,0,106905.18,108909.18,111417.57,111495.83,111623.02,111495.84,110449.20,109666.70,111532.23,111473.53,0,0,1104968.28
ELCIONE THEREZINHA ZAHLUTH BARBALHO,F,74,5,13,11,2,16,05/10/1944,0,"33.763,00","323.224,20",18282.77,21903.47,42172.90,54698.46,50424.42,44680.57,25428.51,30182.96,15955.03,18147.74,1347.37,0,109942.97,108266.63,106606.75,106963.42,110173.43,110012.89,110173.43,111342.81,111617.17,105768.72,0,0,1090868.22
ELIZA VIRGINIA DE SOUZA FERNANDES,F,16,0,1,8,0,3,02/04/1972,0,"33.763,00","112.754,16",5603.62,27115.41,16470.04,57435.05,6130.04,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00
REJANE RIBEIRO SOUSA DIAS,F,90,0,2,65,0,33,04/09/1972,0,"33.763,00","238.951,27",16913.54,23065.31,34072.61,41316.06,35393.20,27658.11,30276.40,10634.60,10120.33,9141.10,360.01,0,94123.29,94123.29,94123.29,96640.01,103386.00,97900.48,110730.33,111077.25,111077.25,109208.19,0,0,1022389.38
ROSA NEIDE SANDES DE ALMEIDA,F,88,3,1,40,4,5,08/08/1963,1,"33.763,00","353.148,92",34234.38,47655.50,65702.41,36747.44,42534.13,32039.17,23335.58,18867.29,10899.48,21660.54,19473.00,0,111574.65,110892.89,108386.56,109037.91,110196.13,109389.74,109971.90,109688.57,109645.72,111202.48,0,0,1099986.55
MARCIVANIA DO SOCORRO DA ROCHA FLEXA,F,91,0,1,34,0,6,21/06/1973,0,"33.763,00","369.249,80",73518.31,24414.79,47486.37,49562.35,28947.17,39390.78,27825.99,17636.42,7286.62,47181.00,6000.00,0,111465.49,111400.50,110738.38,111378.13,111439.63,111111.26,111351.62,111476.44,111465.50,111483.67,0,0,1113310.62
KATIA DA SILVA SASTRE,F,91,0,1,38,0,19,04/04/1976,0,"33.763,00","355.919,46",34893.09,34694.24,64166.28,35385.20,36339.70,38923.80,34961.86,43018.05,29335.74,4107.45,94.05,0,107322.54,104138.84,105140.20,105895.02,105351.11,96070.39,98655.82,111265.29,111265.29,110985.86,0,0,1056090.36
DAYANE JAMILLE CARNEIRO DOS SANTOS PIMENTEL,F,67,17,8,24,13,16,30/01/1986,0,"33.763,00","221.802,92",24757.35,14536.29,33354.13,32630.75,38636.18,25835.19,21096.42,20196.27,4322.45,6205.76,232.13,0,103819.39,108270.50,109719.50,110069.34,110134.52,109472.23,110404.13,110404.13,110398.05,108576.72,0,0,1091268.51
MARIA PERPÉTUA DE ALMEIDA,F,86,4,2,56,8,27,28/12/1964,1,"33.763,00","388.926,37",40876.75,38531.07,65864.03,66620.97,53571.92,37080.29,43254.26,14245.86,16783.06,11611.31,486.85,0,111465.58,106860.33,104769.12,111544.45,111544.45,111544.45,111499.84,111405.91,111429.19,111429.19,0,0,1103492.51
PATRICIA LIMA FERRAZ,F,10,0,0,0,0,0,09/01/1980,0,"33.763,00","55.295,48",7370.23,47113.09,812.16,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00
NATÁLIA BASTOS BONAVIDES,F,86,6,0,16,4,15,15/06/1988,0,"33.763,00","329.375,95",31946.09,31413.95,72688.49,54961.85,61905.75,41735.22,31051.52,966.23,2706.85,0,0,0,106600.62,90902.30,96132.21,102664.33,98979.97,99242.75,104019.87,107795.14,111410.75,111213.52,0,0,1028961.46
NORMA AYUB ALVES,F,77,14,1,19,8,5,07/09/1959,0,"33.763,00","274.172,87",19354.87,22480.29,25213.93,34202.81,34648.47,33963.01,31584.22,23186.05,21711.62,24913.35,2914.25,0,109263.62,109263.62,109371.25,108682.13,108282.54,109497.38,106962.54,107480.28,107282.54,110694.20,0,0,1086780.10
MARIA AUXILIADORA SEABRA REZENDE,F,71,0,3,69,3,41,01/10/1964,0,"33.763,00","244.204,17",20187.34,51058.21,42305.79,52041.49,47722.61,22610.88,8277.85,0,0,0,0,0,97131.95,97131.95,102063.65,104981.11,97310.99,99796.88,102973.35,109375.33,111544.35,111545.52,0,0,1033855.08
MARINA SANTOS BATISTA DIAS,F,90,2,0,6,1,12,13/09/1980,0,"33.763,00","356.995,02",23811.47,41587.12,38764.57,41760.61,35827.39,43099.71,38934.07,25951.64,26865.00,39929.24,464.20,0,111495.88,111495.88,111311.17,111495.87,111185.14,111495.87,111495.88,111495.88,111495.88,111495.88,0,0,1114463.33
MARIANA FONSECA RIBEIRO CARVALHO DE MORAES,F,53,4,4,14,4,6,26/11/1986,1,"33.763,00","199.535,84",20869.22,24814.35,47199.17,40425.87,61996.18,1826.39,2133.82,270.84,0,0,0,0,110447.75,111310.98,111014.24,111416.94,111416.94,110963.22,109667.84,104478.85,105163.12,101764.09,0,0,1087643.97
MARGARETE DE CASTRO COELHO,F,81,7,4,58,5,22,12/03/1961,2,"33.763,00","360.665,17",39855.50,50976.40,52735.60,50764.85,28872.48,40798.70,35963.33,15107.77,13877.11,31713.43,0,0,110943.91,108857.07,110120.74,99024.19,107482.10,108590.38,108590.38,108590.38,108590.38,108590.38,0,0,1079379.91
MARÍLIA VALENÇA ROCHA ARRAES DE ALENCAR,F,64,21,7,3,5,5,12/04/1984,0,"33.763,00","279.180,89",13902.07,25170.41,93784.61,29683.86,54406.01,14216.62,21165.20,10306.43,9508.71,6719.11,317.86,0,108653.71,111429.12,111429.12,109087.10,107972.58,111617.16,110853.68,111354.04,98888.69,87984.76,0,0,1069269.96
MARIA DO ROSÁRIO NUNES,F,77,6,9,48,12,22,22/11/1966,0,"33.763,00","387.871,84",45949.20,43740.41,69986.28,49177.17,42746.98,41192.91,36138.61,26246.21,12312.33,18496.99,1884.75,0,108772.35,108772.35,108876.06,111047.03,106150.54,107898.86,108449.48,109367.19,110743.74,110743.74,0,0,1090821.34
CYLMARA FERNANDES DA ROCHA GRIPP,F,77,14,1,30,6,16,04/09/1973,0,"33.763,00","429.966,83",56886.05,57867.30,54199.26,62724.01,46657.40,33841.62,21007.85,23443.28,30345.94,42994.12,0,0,110779.96,110779.96,110779.96,110779.96,110779.96,109894.35,110779.96,110983.86,111574.61,111492.81,0,0,1108625.39
MARIA DO PARTO MENDES ROSAS,F,62,0,0,41,0,3,01/10/1965,0,"33.763,00","187.092,56",18825.99,31183.42,39925.50,29239.92,24673.76,26942.82,16101.15,200.00,0,0,0,0,106936.54,107061.76,110238.71,111538.37,111538.37,109915.15,107599.10,111210.42,111538.37,111538.37,0,0,1099115.16
FABIANA SILVA DE SOUZA,F,76,11,5,22,4,0,09/01/1980,0,"33.763,00","246.957,42",19669.14,45316.31,52715.53,30152.26,32781.41,27385.49,25479.97,6199.02,5005.38,1966.38,286.53,0,111544.24,111438.52,111398.27,111315.37,111119.65,111039.60,111350.20,111350.20,111554.84,111344.35,0,0,1113455.24
MAGDA MOFATTO HON,F,77,3,12,28,6,36,26/10/1948,0,"33.763,00","247.802,06",41429.43,31068.63,47136.54,47632.39,46414.73,19428.88,6001.17,8505.69,115.33,69.27,0,0,103642.03,111061.35,110458.33,109242.74,110160.73,111392.46,111429.23,111429.23,100201.81,100742.41,0,0,1079760.32
TEREZA CRISTINA CORREA DA COSTA DIAS,F,63,2,4,59,1,6,06/07/1954,0,"33.763,00","144.090,44",0.04,21629.55,17413.02,24574.99,29064.98,17058.41,14118.74,16121.69,4109.02,0,0,0,0.00,0.00,1279.50,71166.60,104538.87,108750.39,111222.82,102614.06,93234.05,89798.37,0,0,682604.66
LUIZA ERUNDINA DE SOUSA,F,78,14,0,37,9,14,30/11/1934,0,"33.763,00","222.485,05",17316.28,17369.22,13312.38,23549.05,49196.58,41316.33,41450.36,18601.72,126.15,246.98,0,0,106370.19,98801.78,96737.67,96737.67,96737.67,96737.67,96737.67,96737.67,96737.67,102137.42,0,0,984473.08
VIVIANE DA COSTA REIS,F,81,11,0,79,18,21,05/08/1991,1,"33.763,00","360.325,42",50505.11,33624.12,47121.22,42779.32,38398.45,36910.98,40803.83,27107.07,21698.14,21089.09,288.09,0,111413.83,111501.88,108988.28,109564.43,110684.14,111041.26,111423.00,111423.00,111423.00,111423.00,0,0,1108885.82
LUIZIANNE DE OLIVEIRA LINS,F,82,7,3,5,6,10,18/11/1968,0,"33.763,00","391.834,12",43009.21,49188.28,62832.39,40398.85,50556.05,27655.84,25583.94,56182.22,8648.41,27778.93,0,0,111647.55,111647.55,111647.55,111647.55,111647.55,111647.55,111532.28,111532.28,111532.28,111532.28,0,0,1116014.42
TEREZA NELMA DA SILVA PORTO VIANA SOARES,F,79,13,0,103,49,35,07/10/1957,0,"33.763,00","358.627,21",42581.54,41297.61,47878.77,54271.73,56885.66,33460.03,30126.11,27479.91,24072.70,573.15,0,0,111471.49,109973.66,109423.19,109733.42,109422.19,104705.24,109483.86,110785.88,110860.47,110833.78,0,0,1096693.18
TABATA CLAUDIA AMARAL DE PONTES,F,88,1,3,137,0,9,14/11/1993,1,"33.763,00","282.725,01",38950.69,27888.06,35331.21,32068.77,49942.23,49334.59,25146.00,5016.41,3076.08,15953.95,17.02,0,90049.89,91799.32,91532.51,93743.68,102729.84,100032.77,52077.47,38232.71,30268.49,54265.68,0,0,744732.36
TALIRIA PETRONE SOARES,F,76,14,2,27,19,32,09/04/1985,0,"33.763,00","273.502,65",35801.22,32189.96,31865.89,45403.28,29413.08,37323.98,24098.94,23355.39,10439.80,3279.24,331.87,0,111647.51,111647.51,111647.51,111555.29,111584.31,111647.53,111647.53,110216.76,111417.00,111276.31,0,0,1114287.26
FRANCISCO RODRIGUES VALE JUNIOR,M,87,3,2,25,2,6,15/03/1969,0,"33.763,00","309.142,86",17093.58,30616.27,50032.21,33547.10,38718.63,30008.06,31405.20,20504.95,10000.71,26688.21,20527.94,0,110440.58,110440.58,110440.58,110440.58,108630.41,108370.30,101304.39,105472.56,105472.56,105472.56,0,0,1076485.10
SHÉRIDAN ESTÉRFANY OLIVEIRA RAMOS,F,53,35,4,0,0,3,11/04/1984,0,"33.763,00","399.814,95",47717.67,50310.81,47454.50,20489.75,41030.40,35713.64,41489.54,36394.17,37347.57,41866.90,0,0,104351.76,98699.47,100259.52,100363.57,99170.39,111192.45,104911.24,108772.24,109791.30,108036.70,0,0,1045548.64
SORAYA ALENCAR DOS SANTOS,F,90,2,0,29,0,16,04/12/1958,0,"33.763,00","241.340,36",30377.64,25882.69,44839.17,32605.66,18501.89,34461.17,25720.88,19262.46,5904.46,3618.71,165.63,0,109912.12,110159.23,104418.43,104366.11,108917.92,108917.92,109011.86,110852.93,110852.93,110852.93,0,0,1088262.38
SILVIA CRISTINA AMANCIO CHAGAS,F,89,2,1,55,5,31,15/01/1974,0,"33.763,00","325.680,08",38497.24,41381.49,41593.07,52095.78,77841.57,30489.93,21356.30,8189.34,4412.39,7253.38,2569.59,0,111374.48,110870.15,110767.11,111370.23,111247.85,111259.60,111526.12,111514.99,111410.91,111315.81,0,0,1112657.25
ROSIANE MODESTO  DE OLIVEIRA,F,77,9,6,0,0,4,20/02/1978,0,"33.763,00","197.955,03",16532.25,28174.06,22572.80,28359.47,28108.83,26531.02,14867.91,6958.44,8464.46,17101.98,283.81,0,109718.66,110767.63,111653.67,111653.67,109880.49,109891.34,111617.27,97483.92,90265.59,93489.86,0,0,1056422.10
SAMIA DE SOUZA BOMFIM,F,78,14,0,32,0,3,22/08/1989,0,"33.763,00","312.644,24",29863.31,33173.07,52100.08,33373.57,49527.82,25800.86,31637.36,25034.27,10727.26,21406.64,0,0,101425.05,108439.14,108239.71,106353.47,110257.66,110871.10,110871.10,110871.10,110871.10,110871.10,0,0,1089070.53
ROSANGELA DE SOUZA GOMES,F,77,15,0,2,0,0,27/12/1966,2,"33.763,00","318.174,26",35619.36,53038.08,41099.12,30910.68,40356.20,24832.33,27594.88,28932.93,13329.32,22402.45,58.91,0,111495.87,111495.87,111495.87,111495.87,111495.87,111495.87,111495.87,111495.87,111495.87,111495.87,0,0,1114958.70
RENATA HELLMEISTER DE ABREU,F,48,14,0,5,10,18,15/04/1982,0,"33.763,00","199.541,42",31109.86,31679.38,42089.94,31671.65,42896.72,3728.86,14647.92,1717.09,0,0,0,0,96622.36,104075.25,110440.45,106841.60,108188.68,109718.62,106018.07,110109.96,110476.84,110575.46,0,0,1073067.29
ROSANA DE OLIVEIRA VALLE,F,87,3,2,44,2,2,08/05/1969,0,"33.763,00","336.434,57",21183.33,29131.46,53484.17,52840.25,41134.85,34551.95,41195.46,30158.94,20867.06,11662.38,224.72,0,107098.26,107098.26,107098.26,107098.26,100284.96,91133.79,106579.32,107632.04,109901.08,106206.39,0,0,1050130.62
EDNACE ALVES SILVESTRE HENRIQUE,F,52,9,1,13,7,6,04/09/1958,0,"33.763,00","243.584,49",21722.42,41564.86,44584.53,40428.22,32338.39,34109.42,28606.65,230.00,0,0,0,0,110222.29,107865.76,109797.12,111663.63,111512.59,111590.85,111590.85,111590.85,111590.85,111590.85,0,0,1109015.64
SORAYA DE SOUZA MANNATO,F,92,0,0,111,0,64,10/03/1961,0,"33.763,00","276.291,75",31353.75,37397.79,57239.48,36607.77,43635.09,15176.75,23098.74,18128.98,8706.64,4946.76,0,0,111501.77,111501.77,110559.03,110173.36,110920.06,110221.10,107709.88,107907.12,109518.27,110809.89,0,0,1100822.25
VANDA DENIR MILANI NOGUEIRA,F,72,13,7,31,11,22,17/09/1953,0,"33.763,00","391.634,75",45066.55,49027.62,29462.19,36127.46,71009.98,22618.07,41106.51,44816.37,25900.00,26500.00,0,0,109028.91,110980.61,111507.90,109468.16,111544.28,110383.90,111280.73,111580.69,111580.69,106487.76,0,0,1103843.63
DULCE FERREIRA PAGANI MIRANDA,F,84,8,0,78,11,8,15/12/1963,0,"33.763,00","385.034,30",17405.28,54422.42,66007.20,43629.27,48597.93,16964.63,42936.18,44081.35,12782.41,38029.26,178.37,0,111515.73,108469.11,109947.21,108778.45,110497.62,110780.17,110780.17,110780.17,110297.33,110780.17,0,0,1102626.13
DANIELA MOTE DE SOUZA CARNEIRO,F,80,10,2,42,9,9,10/02/1976,0,"33.763,00","304.951,63",35968.58,36604.61,48540.64,61049.56,50236.04,27308.97,20808.56,13155.35,11253.04,26.28,0,0,111004.43,110578.75,110970.40,111234.95,111234.95,111234.95,111234.95,110155.05,109870.15,100152.27,0,0,1097670.85
CHRISTINE NOGUEIRA DOS REIS TONIETTO,F,88,2,2,59,4,6,14/05/1991,0,"33.763,00","124.730,04",11369.60,10173.11,9970.30,13872.46,12050.51,19466.91,25628.43,11169.95,3255.31,7593.78,179.68,0,69040.75,69101.84,69101.84,71632.90,76266.55,85504.27,88597.50,88597.50,88597.50,82910.48,0,0,789351.13
CHRISTIANE DE SOUZA YARED,F,83,9,0,27,6,5,23/02/1960,0,"33.763,00","308.558,90",23957.30,44324.43,35762.57,54189.41,41149.82,32246.76,23122.06,18987.00,15357.26,19462.29,0,0,108772.44,108772.44,108772.44,108772.44,108366.22,104176.55,111586.94,111586.94,111586.94,108683.92,0,0,1091077.27
